Role,Name,Start,End
American History,American Revolution,1779-01-01,1782-12-30
American History,American Revolution,1785-01-01,1786-12-30
American History,American Revolution,1788-01-01,1788-12-30
American History,American Revolution,1795-01-01,1797-12-30
American History,American Revolution,1799-01-01,1801-12-30
American History,American Revolution,1805-01-01,1805-12-30
American History,American Revolution,1808-01-01,1811-12-30
American History,American Revolution,1813-01-01,1822-12-30
American History,American Revolution,1824-01-01,1826-12-30
American History,American Revolution,1828-01-01,1847-12-30
Diplomacy,European Alliances,1779-01-01,1779-12-30
Diplomacy,European Alliances,1810-01-01,1810-12-30
Diplomacy,European Alliances,1812-01-01,1813-12-30
Diplomacy,European Alliances,1817-01-01,1817-12-30
Diplomacy,European Alliances,1830-01-01,1831-12-30
Health and Medicine,Health and Illness,1779-01-01,1779-12-30
Health and Medicine,Health and Illness,1782-01-01,1783-12-30
Health and Medicine,Health and Illness,1785-01-01,1789-12-30
Health and Medicine,Health and Illness,1791-01-01,1792-12-30
Health and Medicine,Health and Illness,1794-01-01,1847-12-30
International Relations,International,1779-01-01,1783-12-30
International Relations,International,1785-01-01,1785-12-30
International Relations,International,1794-01-01,1794-12-30
International Relations,International,1796-01-01,1801-12-30
International Relations,International,1809-01-01,1809-12-30
International Relations,International,1814-01-01,1815-12-30
International Relations,International,1817-01-01,1817-12-30
International Relations,International,1840-01-01,1840-12-30
International Relations,International,1843-01-01,1843-12-30
Military and Naval History,Privateering,1779-01-01,1779-12-30
Military and Naval History,Privateering,1810-01-01,1813-12-30
Military and Naval History,Privateering,1817-01-01,1825-12-30
Military and Naval History,Privateering,1827-01-01,1830-12-30
Military and Naval History,Privateering,1832-01-01,1832-12-30
Military and Naval History,Privateering,1839-01-01,1839-12-30
Military and Naval History,Privateering,1841-01-01,1841-12-30
Leisure and Society,Recreation,1779-01-01,1847-12-30
Religion and Society,Religion,1779-01-01,1783-12-30
Religion and Society,Religion,1785-01-01,1788-12-30
Religion and Society,Religion,1797-01-01,1797-12-30
Religion and Society,Religion,1799-01-01,1799-12-30
Religion and Society,Religion,1801-01-01,1801-12-30
Religion and Society,Religion,1803-01-01,1822-12-30
Religion and Society,Religion,1826-01-01,1848-12-30
Travel and Exploration,Travel and Touring,1779-01-01,1783-12-30
Travel and Exploration,Travel and Touring,1785-01-01,1785-12-30
Travel and Exploration,Travel and Touring,1794-01-01,1794-12-30
Travel and Exploration,Travel and Touring,1796-01-01,1801-12-30
Travel and Exploration,Travel and Touring,1809-01-01,1809-12-30
Travel and Exploration,Travel and Touring,1814-01-01,1815-12-30
Travel and Exploration,Travel and Touring,1817-01-01,1817-12-30
Travel and Exploration,Travel and Touring,1840-01-01,1840-12-30
Travel and Exploration,Travel and Touring,1843-01-01,1843-12-30
Trade and Commerce,Commerce,1783-01-01,1783-12-30
Trade and Commerce,Commerce,1797-01-01,1798-12-30
Trade and Commerce,Commerce,1809-01-01,1824-12-30
Trade and Commerce,Commerce,1826-01-01,1828-12-30
Trade and Commerce,Commerce,1831-01-01,1836-12-30
Trade and Commerce,Commerce,1838-01-01,1838-12-30
Race and Ethnicity,African Americans,1785-01-01,1785-12-30
Race and Ethnicity,African Americans,1787-01-01,1787-12-30
Race and Ethnicity,African Americans,1794-01-01,1794-12-30
Race and Ethnicity,African Americans,1806-01-01,1807-12-30
Race and Ethnicity,African Americans,1809-01-01,1822-12-30
Race and Ethnicity,African Americans,1824-01-01,1829-12-30
Race and Ethnicity,African Americans,1831-01-01,1847-12-30
Military and Naval History,Barbary Wars,1785-01-01,1785-12-30
Military and Naval History,Barbary Wars,1794-01-01,1794-12-30
Military and Naval History,Barbary Wars,1796-01-01,1796-12-30
Military and Naval History,Barbary Wars,1815-01-01,1816-12-30
Military and Naval History,Barbary Wars,1831-01-01,1831-12-30
American Politics,Continental Congress,1785-01-01,1785-12-30
American Politics,Continental Congress,1831-01-01,1832-12-30
American Politics,Continental Congress,1838-01-01,1838-12-30
Adams Family,Family Relations (Adams Family),1785-01-01,1787-12-30
Adams Family,Family Relations (Adams Family),1805-01-01,1805-12-30
Adams Family,Family Relations (Adams Family),1807-01-01,1807-12-30
Adams Family,Family Relations (Adams Family),1813-01-01,1813-12-30
